Ad,Field,Position,Text,Characters,Limit
RSA 1 - Felony Criminal Defense,Headline,1,Felony Criminal Defense,23,30
RSA 1 - Felony Criminal Defense,Headline,2,Felony Defense Attorney,23,30
RSA 1 - Felony Criminal Defense,Headline,3,40+ Years Criminal Defense,26,30
RSA 1 - Felony Criminal Defense,Headline,4,40+ Years Defending Felonies,28,30
RSA 1 - Felony Criminal Defense,Headline,5,AV Preeminent Rated Firm,24,30
RSA 1 - Felony Criminal Defense,Headline,6,200+ Positive Reviews,21,30
RSA 1 - Felony Criminal Defense,Headline,7,Wilmington Felony Lawyer,24,30
RSA 1 - Felony Criminal Defense,Headline,8,Complex Felony Cases,20,30
RSA 1 - Felony Criminal Defense,Headline,9,Defending NC Felony Charges,27,30
RSA 1 - Felony Criminal Defense,Headline,10,Charged With a Felony?,22,30
RSA 1 - Felony Criminal Defense,Headline,11,State & Federal Felonies,24,30
RSA 1 - Felony Criminal Defense,Headline,12,Focused On Criminal Law,23,30
RSA 1 - Felony Criminal Defense,Headline,13,Four Decades in NC Courts,25,30
RSA 1 - Felony Criminal Defense,Headline,14,Free Case Evaluation,20,30
RSA 1 - Felony Criminal Defense,Headline,15,Speak With an Attorney,22,30
RSA 1 - Felony Criminal Defense,Description,1,AV Preeminent rated felony defense with 40+ years in NC criminal courts.,72,90
RSA 1 - Felony Criminal Defense,Description,2,"Defending felony charges in Wilmington, NC courts since 1982. 200+ positive reviews.",84,90
RSA 1 - Felony Criminal Defense,Description,3,"Complex felony cases, state and federal. Focused On Criminal Law. Trial-Tested Defense.",87,90
RSA 1 - Felony Criminal Defense,Description,4,Four decades defending serious charges in New Hanover County. Free Case Evaluation.,83,90
RSA 1 - Felony Criminal Defense,Path,1,Felony-Defense,14,15
RSA 1 - Felony Criminal Defense,Path,2,Wilmington-NC,13,15
RSA 2 - Drunk Driving Defense,Headline,1,Drunk Driving Defense,21,30
RSA 2 - Drunk Driving Defense,Headline,2,Drunk Driving Attorney,22,30
RSA 2 - Drunk Driving Defense,Headline,3,40+ Years DWI Defense,21,30
RSA 2 - Drunk Driving Defense,Headline,4,"2,000+ DWI Cases Handled",24,30
RSA 2 - Drunk Driving Defense,Headline,5,AV Preeminent Rated Firm,24,30
RSA 2 - Drunk Driving Defense,Headline,6,200+ Positive Reviews,21,30
RSA 2 - Drunk Driving Defense,Headline,7,Wilmington DWI Lawyer,21,30
RSA 2 - Drunk Driving Defense,Headline,8,Charged With Drunk Driving?,27,30
RSA 2 - Drunk Driving Defense,Headline,9,DWI & DUI Defense,17,30
RSA 2 - Drunk Driving Defense,Headline,10,Protect Your License,20,30
RSA 2 - Drunk Driving Defense,Headline,11,DMV Hearing Representation,26,30
RSA 2 - Drunk Driving Defense,Headline,12,Focused On Criminal Law,23,30
RSA 2 - Drunk Driving Defense,Headline,13,Four Decades in NC Courts,25,30
RSA 2 - Drunk Driving Defense,Headline,14,First-Offense DWI Defense,25,30
RSA 2 - Drunk Driving Defense,Headline,15,Free Case Evaluation,20,30
RSA 2 - Drunk Driving Defense,Description,1,AV Preeminent rated drunk driving defense with 40+ years in NC criminal courts.,79,90
RSA 2 - Drunk Driving Defense,Description,2,"Defending drunk driving charges in Wilmington, NC courts since 1982. 2,000+ DWI cases.",86,90
RSA 2 - Drunk Driving Defense,Description,3,Breath and blood evidence can be challenged. Focused On Criminal Law. Free Evaluation.,86,90
RSA 2 - Drunk Driving Defense,Description,4,200+ positive client reviews. Four decades handling complex DWI cases in New Hanover.,85,90
RSA 2 - Drunk Driving Defense,Path,1,Drunk-Driving,13,15
RSA 2 - Drunk Driving Defense,Path,2,DWI-Defense,11,15
RSA 3 - General Criminal Defense (optional third),Headline,1,Criminal Defense Attorney,25,30
RSA 3 - General Criminal Defense (optional third),Headline,2,Criminal Defense Lawyer,23,30
RSA 3 - General Criminal Defense (optional third),Headline,3,40+ Years Criminal Defense,26,30
RSA 3 - General Criminal Defense (optional third),Headline,4,AV Preeminent Rated Firm,24,30
RSA 3 - General Criminal Defense (optional third),Headline,5,200+ Positive Reviews,21,30
RSA 3 - General Criminal Defense (optional third),Headline,6,Wilmington Criminal Lawyer,26,30
RSA 3 - General Criminal Defense (optional third),Headline,7,Facing Criminal Charges?,24,30
RSA 3 - General Criminal Defense (optional third),Headline,8,Felony & Misdemeanor Defense,28,30
RSA 3 - General Criminal Defense (optional third),Headline,9,State & Federal Court,21,30
RSA 3 - General Criminal Defense (optional third),Headline,10,Complex Case Experience,23,30
RSA 3 - General Criminal Defense (optional third),Headline,11,Focused On Criminal Law,23,30
RSA 3 - General Criminal Defense (optional third),Headline,12,Four Decades in NC Courts,25,30
RSA 3 - General Criminal Defense (optional third),Headline,13,Free Case Evaluation,20,30
RSA 3 - General Criminal Defense (optional third),Headline,14,Speak With an Attorney,22,30
RSA 3 - General Criminal Defense (optional third),Headline,15,Know Your Legal Options,23,30
RSA 3 - General Criminal Defense (optional third),Description,1,"AV Preeminent rated criminal defense with 40+ years in Wilmington, NC courts.",77,90
RSA 3 - General Criminal Defense (optional third),Description,2,Defending criminal charges in New Hanover County since 1982. 200+ positive reviews.,83,90
RSA 3 - General Criminal Defense (optional third),Description,3,"Complex cases, state and federal. Focused On Criminal Law. Comprehensive Defense.",81,90
RSA 3 - General Criminal Defense (optional third),Description,4,"Four decades of courtroom experience in NC. Free Case Evaluation, no obligation.",80,90
RSA 3 - General Criminal Defense (optional third),Path,1,Criminal-Law,12,15
RSA 3 - General Criminal Defense (optional third),Path,2,Wilmington-NC,13,15
